Radix,Complexity,Time in ms,BubbleSort,Complexity,Time in s,GnomeSort,Complexity,Time in s,MergeSort,Complexity,Time in ms,QuikSort,Complexity,Time in ms
,1,0.202,,1,8.20E-05,,1,7.10E-05,,1,0.092,,1,0.167
,7,0.213,,7,2.59E-04,,7,1.34E-04,,7,0.131,,7,0.179
,13,0.265,,13,3.95E-04,,13,2.56E-04,,13,0.176,,13,0.29
,19,0.237,,19,4.36E-04,,19,4.06E-04,,19,0.267,,19,0.377
,25,0.31,,25,3.91E-04,,25,4.92E-04,,25,0.308,,25,0.459
,31,0.318,,31,6.09E-04,,31,6.66E-04,,31,0.412,,31,0.792
,37,0.447,,37,7.93E-04,,37,8.81E-04,,37,0.421,,37,1.056
,43,0.386,,43,9.26E-04,,43,0.001066,,43,0.509,,43,0.66
,49,0.163,,49,0.001449,,49,0.001573,,49,0.82,,49,0.374
,55,0.223,,55,0.001565,,55,0.001899,,55,0.466,,55,0.425
,61,0.218,,61,0.001856,,61,0.002291,,61,0.481,,61,0.477
,67,0.184,,67,0.002462,,67,0.003829,,67,0.394,,67,0.534
,73,0.203,,73,0.001403,,73,0.00161,,73,0.442,,73,0.571
,79,0.228,,79,6.65E-04,,79,0.001113,,79,0.453,,79,0.691
,85,0.247,,85,0.001387,,85,7.90E-04,,85,0.515,,85,0.881
,91,0.228,,91,0.00168,,91,8.67E-04,,91,0.58,,91,0.727
,97,0.246,,97,0.002205,,97,0.001148,,97,0.646,,97,0.746
,103,0.379,,103,0.002056,,103,0.001175,,103,0.651,,103,0.82
,109,0.266,,109,0.001187,,109,0.001249,,109,0.709,,109,0.875
,115,0.238,,115,0.001327,,115,0.001386,,115,0.552,,115,0.881
,121,0.265,,121,0.001443,,121,0.001539,,121,0.401,,121,0.958
,127,0.266,,127,0.003838,,127,0.001846,,127,0.426,,127,0.962
,133,0.273,,133,0.004531,,133,0.003285,,133,0.443,,133,0.662
,139,0.29,,139,0.002499,,139,0.003048,,139,0.438,,139,0.539
,145,0.298,,145,0.001595,,145,0.002771,,145,0.442,,145,0.634
,151,0.31,,151,5.31E-04,,151,4.11E-04,,151,0.451,,151,1.237
,157,0.327,,157,5.72E-04,,157,4.75E-04,,157,0.509,,157,0.618
,163,0.359,,163,6.12E-04,,163,4.91E-04,,163,0.603,,163,1.209
,169,0.341,,169,6.63E-04,,169,5.10E-04,,169,0.518,,169,0.826
,175,0.431,,175,6.89E-04,,175,5.31E-04,,175,0.537,,175,0.718
,181,0.365,,181,7.50E-04,,181,5.74E-04,,181,0.556,,181,0.764
,187,0.377,,187,7.89E-04,,187,6.29E-04,,187,0.572,,187,0.761
,193,0.392,,193,8.11E-04,,193,6.99E-04,,193,0.581,,193,1.426
,199,0.486,,199,8.53E-04,,199,6.58E-04,,199,0.601,,199,1.778
,205,0.543,,205,0.001035,,205,7.25E-04,,205,0.62,,205,1.019
,211,0.473,,211,0.001293,,211,7.49E-04,,211,0.65,,211,0.858
,217,0.463,,217,0.00122,,217,0.001263,,217,0.703,,217,0.943
,223,0.559,,223,0.001361,,223,9.32E-04,,223,0.936,,223,0.98
,229,0.486,,229,0.001202,,229,9.64E-04,,229,0.959,,229,0.943
,235,0.549,,235,0.001198,,235,0.001168,,235,0.817,,235,1.025
,241,0.491,,241,0.001522,,241,0.001209,,241,0.81,,241,1.534
,247,0.697,,247,0.001596,,247,0.001071,,247,0.859,,247,1.509
,253,0.629,,253,0.001388,,253,0.001204,,253,0.886,,253,1.715
,259,0.663,,259,0.001463,,259,0.00122,,259,1.094,,259,2.469
,265,0.557,,265,0.001549,,265,0.001246,,265,0.919,,265,1.14
,271,0.586,,271,0.001646,,271,0.001333,,271,0.993,,271,1.2
,277,0.576,,277,0.001829,,277,0.001288,,277,0.917,,277,1.204
,283,0.566,,283,0.001964,,283,0.001374,,283,0.889,,283,1.268
,289,0.579,,289,0.00233,,289,0.001415,,289,0.994,,289,1.187
,295,0.779,,295,0.002152,,295,0.001937,,295,0.993,,295,0.428
,301,0.598,,301,0.00207,,301,0.001852,,301,0.957,,301,0.428
,307,0.604,,307,0.002038,,307,0.001816,,307,0.989,,307,0.438
,313,0.613,,313,0.002132,,313,0.001905,,313,1.004,,313,0.443
,319,0.63,,319,0.002307,,319,0.001984,,319,1.135,,319,0.454
,325,0.644,,325,0.00285,,325,0.002118,,325,2.295,,325,0.462
,331,0.639,,331,0.002691,,331,0.001865,,331,2.45,,331,0.48
,337,0.644,,337,0.002393,,337,0.00189,,337,1.418,,337,0.55
,343,0.648,,343,0.002831,,343,0.001996,,343,1.335,,343,0.668
,349,0.681,,349,0.002499,,349,0.002907,,349,1.253,,349,0.503
,355,0.674,,355,0.003232,,355,0.002441,,355,1.243,,355,0.561
,361,1.091,,361,0.004103,,361,0.002154,,361,1.277,,361,0.695
,367,1.322,,367,0.002977,,367,0.002687,,367,1.258,,367,0.643
,373,1.088,,373,0.003129,,373,0.002466,,373,1.26,,373,0.764
,379,0.82,,379,0.002949,,379,0.002464,,379,1.46,,379,0.604
,385,0.843,,385,0.003485,,385,0.002894,,385,2.935,,385,0.832
,391,0.887,,391,0.004312,,391,0.002786,,391,1.431,,391,0.841
,397,0.999,,397,0.003415,,397,0.002964,,397,1.532,,397,0.875
,403,0.979,,403,0.003284,,403,0.003108,,403,1.511,,403,0.865
,409,1.065,,409,0.003409,,409,0.002776,,409,1.626,,409,0.872
,415,1.038,,415,0.003824,,415,0.00304,,415,1.515,,415,0.845
,421,0.918,,421,0.004201,,421,0.003393,,421,1.438,,421,0.6
,427,0.879,,427,0.00418,,427,0.003524,,427,1.466,,427,0.683
,433,0.936,,433,0.003846,,433,0.003133,,433,1.482,,433,0.63
,439,0.844,,439,0.004396,,439,0.003195,,439,28.265,,439,0.625
,445,1.06,,445,0.004504,,445,0.003231,,445,13.869,,445,0.646
,451,1.705,,451,0.004287,,451,0.005002,,451,0.713,,451,0.66
,457,1.313,,457,0.004198,,457,0.003548,,457,0.732,,457,0.662
,463,1.18,,463,0.005775,,463,0.003667,,463,0.703,,463,0.667
,469,1.084,,469,0.004692,,469,0.004188,,469,0.688,,469,0.761
,475,1.122,,475,0.00444,,475,0.005468,,475,0.697,,475,0.783
,481,1.093,,481,0.005581,,481,0.003964,,481,0.699,,481,0.756
,487,1.435,,487,0.005242,,487,0.003989,,487,0.694,,487,0.735
,493,1.194,,493,0.00493,,493,0.004296,,493,0.716,,493,0.752
,499,0.939,,499,0.005268,,499,0.004777,,499,0.73,,499,0.779
,505,1.055,,505,0.005834,,505,0.003912,,505,0.719,,505,0.866
,511,1.034,,511,0.005512,,511,0.004228,,511,0.744,,511,1.248
,517,0.996,,517,0.006823,,517,0.014423,,517,0.773,,517,1.302
,523,1.294,,523,0.005985,,523,0.010095,,523,0.752,,523,1.018
,529,1.106,,529,0.005512,,529,0.005008,,529,1.156,,529,0.786
,535,0.994,,535,0.006756,,535,0.004921,,535,0.808,,535,0.791
,541,1.121,,541,0.006061,,541,0.005326,,541,0.809,,541,0.814
,547,1.238,,547,0.006157,,547,0.005108,,547,0.8,,547,0.87
,553,1.271,,553,0.006771,,553,0.005254,,553,0.824,,553,0.841
,559,1.493,,559,0.006058,,559,0.007918,,559,0.851,,559,0.895
,565,1.397,,565,0.008673,,565,0.006107,,565,0.864,,565,0.859
,571,1.384,,571,0.006405,,571,0.005645,,571,0.851,,571,0.856
,577,1.254,,577,0.007067,,577,0.007101,,577,0.863,,577,1.057
,583,1.186,,583,0.007178,,583,0.005743,,583,0.861,,583,0.903
,589,1.322,,589,0.0068,,589,0.006328,,589,0.878,,589,0.933
,595,1.133,,595,0.007928,,595,0.006563,,595,0.899,,595,0.938
,601,1.371,,601,0.007529,,601,0.005947,,601,0.845,,601,0.941
,607,1.126,,607,0.010126,,607,0.007747,,607,0.856,,607,0.96
,613,1.284,,613,0.008282,,613,0.006167,,613,0.922,,613,0.931
,619,2.698,,619,0.008862,,619,0.006936,,619,0.882,,619,0.948
,625,3.028,,625,0.008788,,625,0.006695,,625,0.881,,625,0.977
,631,1.716,,631,0.008841,,631,0.006507,,631,0.92,,631,1.057
,637,1.679,,637,0.008939,,637,0.008883,,637,0.949,,637,1.126
,643,2.014,,643,0.008785,,643,0.006597,,643,1.239,,643,0.854
,649,1.503,,649,0.009024,,649,0.007596,,649,1.098,,649,0.858
,655,1.32,,655,0.009282,,655,0.006768,,655,1.052,,655,0.97
,661,1.22,,661,0.010005,,661,0.007678,,661,0.976,,661,0.929
,667,1.407,,667,0.009099,,667,0.007368,,667,0.961,,667,0.796
,673,2.164,,673,0.010702,,673,0.007481,,673,0.988,,673,0.788
,679,1.403,,679,0.010068,,679,0.007731,,679,1.017,,679,0.898
,685,2.824,,685,0.011345,,685,0.010128,,685,1.161,,685,1.069
,691,3.303,,691,0.010763,,691,0.010158,,691,1,,691,1.031
,697,3.276,,697,0.010845,,697,0.008497,,697,1.034,,697,1.042
,703,2.102,,703,0.010602,,703,0.008259,,703,1.029,,703,1.058
,709,2.12,,709,0.011526,,709,0.011356,,709,1.025,,709,1.221
,715,3.049,,715,0.010744,,715,0.010246,,715,1.038,,715,1.193
,721,1.996,,721,0.010929,,721,0.012306,,721,1.037,,721,0.977
,727,1.908,,727,0.014181,,727,0.014058,,727,1.057,,727,1.049
,733,1.776,,733,0.013075,,733,0.010458,,733,1.23,,733,1.031
,739,1.75,,739,0.013424,,739,0.011194,,739,1.446,,739,1.024
,745,1.759,,745,0.014165,,745,0.010595,,745,1.299,,745,1.02
,751,1.728,,751,0.012715,,751,0.010011,,751,1.289,,751,1.029
,757,1.729,,757,0.013225,,757,0.009631,,757,1.136,,757,1.15
,763,2.119,,763,0.013191,,763,0.011002,,763,1.121,,763,1.063
,769,2.009,,769,0.015075,,769,0.010704,,769,1.173,,769,1.153
,775,0.674,,775,0.013542,,775,0.009779,,775,1.136,,775,1.254
,781,0.669,,781,0.013392,,781,0.010966,,781,1.219,,781,1.206
,787,0.669,,787,0.013397,,787,0.012368,,787,1.19,,787,1.169
,793,0.68,,793,0.013612,,793,0.01069,,793,1.271,,793,1.028
,799,0.66,,799,0.014394,,799,0.010955,,799,1.213,,799,1.204
,805,0.662,,805,0.013868,,805,0.016221,,805,1.253,,805,1.261
,811,0.639,,811,0.014769,,811,0.015823,,811,1.455,,811,0.998
,817,0.641,,817,0.0143,,817,0.011749,,817,1.49,,817,1.015
,823,0.655,,823,0.014563,,823,0.010826,,823,1.265,,823,1.013
,829,0.663,,829,0.016104,,829,0.012552,,829,1.276,,829,1.006
,835,0.66,,835,0.014879,,835,0.012791,,835,1.341,,835,0.977
,841,0.659,,841,0.014696,,841,0.013769,,841,1.274,,841,1.091
,847,0.667,,847,0.017151,,847,0.024704,,847,1.304,,847,1.019
,853,0.669,,853,0.018115,,853,0.015119,,853,1.26,,853,0.939
,859,0.68,,859,0.016438,,859,0.013269,,859,1.294,,859,1.148
,865,0.683,,865,0.018392,,865,0.015532,,865,1.34,,865,1.424
,871,0.686,,871,0.016468,,871,0.015389,,871,1.293,,871,1.344
,877,0.7,,877,0.019996,,877,0.013559,,877,1.286,,877,1.172
,883,0.741,,883,0.018596,,883,0.014453,,883,1.315,,883,1.401
,889,0.847,,889,0.017902,,889,0.015229,,889,1.639,,889,1.402
,895,0.786,,895,0.019824,,895,0.016549,,895,2.278,,895,1.269
,901,0.742,,901,0.018101,,901,0.014307,,901,2.172,,901,1.461
,907,0.75,,907,0.019084,,907,0.017017,,907,2.29,,907,1.261
,913,0.732,,913,0.020095,,913,0.01436,,913,2.107,,913,1.193
,919,0.754,,919,0.020249,,919,0.01407,,919,1.379,,919,1.236
,925,0.748,,925,0.022336,,925,0.014911,,925,1.395,,925,1.253
,931,0.739,,931,0.02007,,931,0.015048,,931,1.396,,931,1.251
,937,0.768,,937,0.019954,,937,0.015287,,937,1.429,,937,1.39
,943,0.75,,943,0.020837,,943,0.015626,,943,1.595,,943,7.833
,949,0.752,,949,0.020422,,949,0.048442,,949,1.723,,949,30.754
,955,0.767,,955,0.020519,,955,0.016223,,955,1.816,,955,2.235
,961,0.778,,961,0.020663,,961,0.020432,,961,1.572,,961,2.124
