"Complexity","Time in s","Count"
1,"7.1E-5",2
7,"1.34E-4",2
13,"2.56E-4",2
19,"4.06E-4",2
25,"4.92E-4",2
31,"6.66E-4",2
37,"8.81E-4",2
43,0.001066,2
49,0.001573,2
55,0.001899,2
61,0.002291,2
67,0.003829,2
73,0.00161,2
79,0.001113,2
85,"7.9E-4",2
91,"8.67E-4",2
97,0.001148,2
103,0.001175,2
109,0.001249,2
115,0.001386,2
121,0.001539,2
127,0.001846,2
133,0.003285,2
139,0.003048,2
145,0.002771,2
151,"4.11E-4",2
157,"4.75E-4",2
163,"4.91E-4",2
169,"5.1E-4",2
175,"5.31E-4",2
181,"5.74E-4",2
187,"6.29E-4",2
193,"6.99E-4",2
199,"6.58E-4",2
205,"7.25E-4",2
211,"7.49E-4",2
217,0.001263,2
223,"9.32E-4",2
229,"9.64E-4",2
235,0.001168,2
241,0.001209,2
247,0.001071,2
253,0.001204,2
259,0.00122,2
265,0.001246,2
271,0.001333,2
277,0.001288,2
283,0.001374,2
289,0.001415,2
295,0.001937,2
301,0.001852,2
307,0.001816,2
313,0.001905,2
319,0.001984,2
325,0.002118,2
331,0.001865,2
337,0.00189,2
343,0.001996,2
349,0.002907,2
355,0.002441,2
361,0.002154,2
367,0.002687,2
373,0.002466,2
379,0.002464,2
385,0.002894,2
391,0.002786,2
397,0.002964,2
403,0.003108,2
409,0.002776,2
415,0.00304,2
421,0.003393,2
427,0.003524,2
433,0.003133,2
439,0.003195,2
445,0.003231,2
451,0.005002,2
457,0.003548,2
463,0.003667,2
469,0.004188,2
475,0.005468,2
481,0.003964,2
487,0.003989,2
493,0.004296,2
499,0.004777,2
505,0.003912,2
511,0.004228,2
517,0.014423,2
523,0.010095,2
529,0.005008,2
535,0.004921,2
541,0.005326,2
547,0.005108,2
553,0.005254,2
559,0.007918,2
565,0.006107,2
571,0.005645,2
577,0.007101,2
583,0.005743,2
589,0.006328,2
595,0.006563,2
601,0.005947,2
607,0.007747,2
613,0.006167,2
619,0.006936,2
625,0.006695,2
631,0.006507,2
637,0.008883,2
643,0.006597,2
649,0.007596,2
655,0.006768,2
661,0.007678,2
667,0.007368,2
673,0.007481,2
679,0.007731,2
685,0.010128,2
691,0.010158,2
697,0.008497,2
703,0.008259,2
709,0.011356,2
715,0.010246,2
721,0.012306,2
727,0.014058,2
733,0.010458,2
739,0.011194,2
745,0.010595,2
751,0.010011,2
757,0.009631,2
763,0.011002,2
769,0.010704,2
775,0.009779,2
781,0.010966,2
787,0.012368,2
793,0.01069,2
799,0.010955,2
805,0.016221,2
811,0.015823,2
817,0.011749,2
823,0.010826,2
829,0.012552,2
835,0.012791,2
841,0.013769,2
847,0.024704,2
853,0.015119,2
859,0.013269,2
865,0.015532,2
871,0.015389,2
877,0.013559,2
883,0.014453,2
889,0.015229,2
895,0.016549,2
901,0.014307,2
907,0.017017,2
913,0.01436,2
919,0.01407,2
925,0.014911,2
931,0.015048,2
937,0.015287,2
943,0.015626,2
949,0.048442,2
955,0.016223,2
961,0.020432,2
967,0.01605,2
973,0.01647,2
979,0.016086,2
985,0.016486,2
991,0.01979,2
997,0.017755,2
1003,0.020224,2
1009,0.020854,2
1015,0.017643,2
1021,0.027469,2
1027,0.018867,2
1033,0.018074,2
1039,0.018471,2
1045,0.022432,2
1051,0.018949,2
1057,0.019405,2
1063,0.019471,2
1069,0.019172,2
1075,0.026437,2
1081,0.019851,2
1087,0.020622,2
1093,0.032916,2
1099,0.020635,2
1105,0.021603,2
1111,0.020906,2
1117,0.022433,2
1123,0.025123,2
1129,0.02563,2
1135,0.022547,2
1141,0.026791,2
1147,0.023029,2
1153,0.031256,2
1159,0.023426,2
1165,0.029508,2
1171,0.024429,2
1177,0.02643,2
1183,0.024851,2
1189,0.024574,2
1195,0.024525,2
1201,0.030268,2
1207,0.027253,2
1213,0.043879,2
1219,0.02812,2
1225,0.027388,2
1231,0.026326,2
1237,0.030432,2
1243,0.02718,2
1249,0.027231,2
1255,0.030693,2
1261,0.027039,2
1267,0.038873,2
1273,0.027785,2
1279,0.028766,2
1285,0.02847,2
1291,0.029391,2
1297,0.030029,2
1303,0.029641,2
1309,0.03489,2
1315,0.04217,2
1321,0.030549,2
1327,0.030488,2
1333,0.030714,2
1339,0.032087,2
1345,0.03013,2
1351,0.030467,2
1357,0.031864,2
1363,0.042409,2
1369,0.035569,2
1375,0.034098,2
1381,0.036772,2
1387,0.03475,2
1393,0.034816,2
1399,0.03939,2
1405,0.060168,2
1411,0.033995,2
1417,0.035221,2
1423,0.040293,2
1429,0.041987,2
1435,0.034973,2
1441,0.046033,2
1447,0.03566,2
1453,0.035753,2
1459,0.040197,2
1465,0.037487,2
1471,0.037309,2
1477,0.051533,2
1483,0.03738,2
1489,0.045657,2
1495,0.039925,2
1501,0.037655,2
1507,0.039826,2
1513,0.051755,2
1519,0.048633,2
1525,0.040064,2
1531,0.043787,2
1537,0.046129,2
1543,0.041066,2
1549,0.05151,2
1555,0.050954,2
1561,0.047636,2
1567,0.04336,2
1573,0.042968,2
1579,0.066964,2
1585,0.048799,2
1591,0.043567,2
1597,0.051413,2
1603,0.048393,2
1609,0.065902,2
1615,0.05551,2
1621,0.046039,2
1627,0.054224,2
1633,0.050736,2
1639,0.0572,2
1645,0.045749,2
1651,0.047127,2
1657,0.053439,2
1663,0.047412,2
1669,0.06002,2
1675,0.053484,2
1681,0.056969,2
1687,0.05839,2
1693,0.079048,2
1699,0.050142,2
1705,0.053557,2
1711,0.05196,2
1717,0.064745,2
1723,0.054415,2
1729,0.052418,2
1735,0.055845,2
1741,0.053325,2
1747,0.066331,2
1753,0.054784,2
1759,0.067169,2
1765,0.073454,2
1771,0.077207,2
1777,0.053599,2
1783,0.055282,2
1789,0.055416,2
1795,0.087858,2
1801,0.055834,2
1807,0.057022,2
1813,0.058993,2
1819,0.070444,2
1825,0.057027,2
1831,0.057436,2
1837,0.067986,2
1843,0.086321,2
1849,0.058651,2
1855,0.060545,2
1861,0.059809,2
1867,0.07745,2
1873,0.061763,2
1879,0.061162,2
1885,0.061238,2
1891,0.068858,2
1897,0.070459,2
1903,0.073319,2
1909,0.075336,2
1915,0.06362,2
1921,0.062652,2
1927,0.079256,2
1933,0.075872,2
1939,0.079104,2
1945,0.064809,2
1951,0.096862,2
1957,0.063973,2
1963,0.071927,2
1969,0.066954,2
1975,0.078019,2
1981,0.067236,2
1987,0.07219,2
1993,0.079888,2
1999,0.077611,2
2005,0.070246,2
2011,0.096346,2
2017,0.068885,2
2023,0.07205,2
2029,0.085944,2
2035,0.088393,2
2041,0.072136,2
2047,0.072093,2
2053,0.090557,2
2059,0.09125,2
2065,0.082173,2
2071,0.089479,2
2077,0.082964,2
2083,0.083225,2
2089,0.087259,2
2095,0.083958,2
2101,0.075758,2
2107,0.101208,2
2113,0.092408,2
2119,0.077133,2
2125,0.11569,2
2131,0.088452,2
2137,0.079563,2
2143,0.091588,2
2149,0.080011,2
2155,0.080161,2
2161,0.110072,2
2167,0.080927,2
2173,0.118036,2
2179,0.096474,2
2185,0.082805,2
2191,0.094688,2
2197,0.110926,2
2203,0.112009,2
2209,0.083851,2
2215,0.091257,2
2221,0.101788,2
2227,0.09288,2
2233,0.087341,2
2239,0.115906,2
2245,0.091733,2
2251,0.102832,2
2257,0.087668,2
2263,0.090073,2
2269,0.09788,2
2275,0.089136,2
2281,0.090798,2
2287,0.132764,2
2293,0.116237,2
2299,0.103067,2
2305,0.091871,2
2311,0.10591,2
2317,0.093693,2
2323,0.090873,2
2329,0.104139,2
2335,0.093392,2
2341,0.095867,2
2347,0.122491,2
2353,0.095167,2
2359,0.10177,2
2365,0.094006,2
2371,0.096101,2
2377,0.107492,2
2383,0.09581,2
2389,0.109552,2
2395,0.098389,2
2401,0.120305,2
2407,0.098456,2
2413,0.103605,2
2419,0.113869,2
2425,0.104831,2
2431,0.11687,2
2437,0.103698,2
2443,0.116278,2
2449,0.103907,2
2455,0.106309,2
2461,0.118359,2
2467,0.104333,2
2473,0.112499,2
2479,0.105714,2
2485,0.114698,2
2491,0.103795,2
2497,0.109026,2
2503,0.119561,2
2509,0.111231,2
2515,0.120115,2
2521,0.111452,2
2527,0.130879,2
2533,0.107887,2
2539,0.120136,2
2545,0.115341,2
2551,0.118968,2
2557,0.11832,2
2563,0.117195,2
2569,0.127217,2
2575,0.138537,2
2581,0.137285,2
2587,0.133152,2
2593,0.140082,2
2599,0.126112,2
2605,0.121071,2
2611,0.139613,2
2617,0.138069,2
2623,0.153684,2
2629,0.119492,2
2635,0.141667,2
2641,0.137442,2
2647,0.159626,2
2653,0.151316,2
2659,0.14126,2
2665,0.140563,2
2671,0.126078,2
2677,0.139669,2
2683,0.129997,2
2689,0.145523,2
2695,0.135303,2
2701,0.139183,2
2707,0.125654,2
2713,0.133848,2
2719,0.125356,2
2725,0.141217,2
2731,0.126851,2
2737,0.141246,2
2743,0.128476,2
2749,0.152642,2
2755,0.141837,2
2761,0.140555,2
2767,0.149493,2
2773,0.128378,2
2779,0.176027,2
2785,0.133663,2
2791,0.186601,2
2797,0.145641,2
2803,0.133359,2
2809,0.15357,2
2815,0.141333,2
2821,0.159363,2
2827,0.135263,2
2833,0.1543,2
2839,0.147249,2
2845,0.138134,2
2851,0.159416,2
2857,0.143987,2
2863,0.153412,2
2869,0.156201,2
2875,0.141657,2
2881,0.161244,2
2887,0.14295,2
2893,0.150072,2
2899,0.154059,2
2905,0.143394,2
2911,0.161035,2
2917,0.148134,2
2923,0.163272,2
2929,0.161206,2
2935,0.144731,2
2941,0.167182,2
2947,0.163477,2
2953,0.15183,2
2959,0.162996,2
2965,0.152405,2
2971,0.166809,2
2977,0.172676,2
2983,0.149777,2
2989,0.165542,2
