"Complexity","Time in ms","Count"
1,0.167,2
7,0.179,2
13,0.29,2
19,0.377,2
25,0.459,2
31,0.792,2
37,1.056,2
43,0.66,2
49,0.374,2
55,0.425,2
61,0.477,2
67,0.534,2
73,0.571,2
79,0.691,2
85,0.881,2
91,0.727,2
97,0.746,2
103,0.82,2
109,0.875,2
115,0.881,2
121,0.958,2
127,0.962,2
133,0.662,2
139,0.539,2
145,0.634,2
151,1.237,2
157,0.618,2
163,1.209,2
169,0.826,2
175,0.718,2
181,0.764,2
187,0.761,2
193,1.426,2
199,1.778,2
205,1.019,2
211,0.858,2
217,0.943,2
223,0.98,2
229,0.943,2
235,1.025,2
241,1.534,2
247,1.509,2
253,1.715,2
259,2.469,2
265,1.14,2
271,1.2,2
277,1.204,2
283,1.268,2
289,1.187,2
295,0.428,2
301,0.428,2
307,0.438,2
313,0.443,2
319,0.454,2
325,0.462,2
331,0.48,2
337,0.55,2
343,0.668,2
349,0.503,2
355,0.561,2
361,0.695,2
367,0.643,2
373,0.764,2
379,0.604,2
385,0.832,2
391,0.841,2
397,0.875,2
403,0.865,2
409,0.872,2
415,0.845,2
421,0.6,2
427,0.683,2
433,0.63,2
439,0.625,2
445,0.646,2
451,0.66,2
457,0.662,2
463,0.667,2
469,0.761,2
475,0.783,2
481,0.756,2
487,0.735,2
493,0.752,2
499,0.779,2
505,0.866,2
511,1.248,2
517,1.302,2
523,1.018,2
529,0.786,2
535,0.791,2
541,0.814,2
547,0.87,2
553,0.841,2
559,0.895,2
565,0.859,2
571,0.856,2
577,1.057,2
583,0.903,2
589,0.933,2
595,0.938,2
601,0.941,2
607,0.96,2
613,0.931,2
619,0.948,2
625,0.977,2
631,1.057,2
637,1.126,2
643,0.854,2
649,0.858,2
655,0.97,2
661,0.929,2
667,0.796,2
673,0.788,2
679,0.898,2
685,1.069,2
691,1.031,2
697,1.042,2
703,1.058,2
709,1.221,2
715,1.193,2
721,0.977,2
727,1.049,2
733,1.031,2
739,1.024,2
745,1.02,2
751,1.029,2
757,1.15,2
763,1.063,2
769,1.153,2
775,1.254,2
781,1.206,2
787,1.169,2
793,1.028,2
799,1.204,2
805,1.261,2
811,0.998,2
817,1.015,2
823,1.013,2
829,1.006,2
835,0.977,2
841,1.091,2
847,1.019,2
853,0.939,2
859,1.148,2
865,1.424,2
871,1.344,2
877,1.172,2
883,1.401,2
889,1.402,2
895,1.269,2
901,1.461,2
907,1.261,2
913,1.193,2
919,1.236,2
925,1.253,2
931,1.251,2
937,1.39,2
943,7.833,2
949,30.754,2
955,2.235,2
961,2.124,2
967,1.628,2
973,2.393,2
979,3.191,2
985,1.804,2
991,3.769,2
997,2.049,2
1003,1.358,2
1009,1.473,2
1015,1.574,2
1021,1.482,2
1027,1.525,2
1033,1.533,2
1039,1.875,2
1045,1.614,2
1051,1.64,2
1057,1.73,2
1063,1.64,2
1069,1.941,2
1075,1.679,2
1081,1.628,2
1087,1.84,2
1093,1.864,2
1099,1.949,2
1105,1.85,2
1111,1.734,2
1117,2.041,2
1123,1.769,2
1129,1.73,2
1135,1.839,2
1141,1.753,2
1147,1.9,2
1153,1.885,2
1159,2.394,2
1165,1.862,2
1171,2.09,2
1177,1.721,2
1183,1.963,2
1189,1.745,2
1195,2.131,2
1201,1.956,2
1207,2.06,2
1213,1.975,2
1219,1.971,2
1225,1.94,2
1231,2.134,2
1237,1.919,2
1243,2.235,2
1249,2.165,2
1255,2.452,2
1261,2.176,2
1267,2.308,2
1273,2.15,2
1279,2.291,2
1285,2.078,2
1291,2.269,2
1297,2.366,2
1303,2.325,2
1309,2.252,2
1315,2.509,2
1321,2.233,2
1327,2.293,2
1333,2.632,2
1339,2.374,2
1345,2.937,2
1351,2.4,2
1357,2.343,2
1363,2.538,2
1369,2.396,2
1375,2.413,2
1381,2.469,2
1387,2.471,2
1393,3.044,2
1399,2.541,2
1405,2.532,2
1411,2.637,2
1417,2.578,2
1423,2.733,2
1429,2.668,2
1435,2.616,2
1441,2.484,2
1447,2.907,2
1453,2.591,2
1459,2.672,2
1465,3.009,2
1471,2.723,2
1477,2.699,2
1483,3.156,2
1489,3.927,2
1495,3.206,2
1501,2.719,2
1507,2.576,2
1513,2.71,2
1519,2.7,2
1525,6.601,2
1531,16.229,2
1537,2.755,2
1543,2.966,2
1549,2.914,2
1555,3.004,2
1561,2.843,2
1567,2.914,2
1573,2.757,2
1579,2.788,2
1585,2.973,2
1591,3.093,2
1597,3.142,2
1603,2.824,2
1609,2.843,2
1615,3.041,2
1621,3.489,2
1627,3.126,2
1633,3.212,2
1639,2.871,2
1645,3.42,2
1651,4.423,2
1657,5.06,2
1663,3.703,2
1669,4.722,2
1675,4.529,2
1681,3.879,2
1687,3.816,2
1693,4.473,2
1699,4.299,2
1705,3.847,2
1711,4.102,2
1717,7.446,2
1723,5.276,2
1729,4.014,2
1735,5.825,2
1741,4.772,2
1747,4.081,2
1753,4.506,2
1759,4.172,2
1765,4.147,2
1771,4.441,2
1777,4.233,2
1783,4.548,2
1789,5.826,2
1795,5.022,2
1801,4.906,2
1807,4.836,2
1813,4.215,2
1819,4.864,2
1825,4.398,2
1831,5.124,2
1837,4.308,2
1843,5.234,2
1849,4.736,2
1855,4.348,2
1861,4.734,2
1867,5.188,2
1873,4.466,2
1879,4.64,2
1885,12.688,2
1891,18.483,2
1897,6.045,2
1903,7.36,2
1909,6.133,2
1915,5.318,2
1921,4.838,2
1927,4.796,2
1933,5.255,2
1939,4.779,2
1945,4.959,2
1951,5.005,2
1957,5.193,2
1963,7.128,2
1969,5.398,2
1975,4.952,2
1981,5.122,2
1987,4.79,2
1993,5.132,2
1999,4.735,2
2005,5.405,2
2011,4.886,2
2017,5.022,2
2023,4.907,2
2029,6.186,2
2035,7.085,2
2041,5.937,2
2047,5.068,2
2053,6.273,2
2059,4.939,2
2065,5.066,2
2071,5.097,2
2077,5.322,2
2083,5.653,2
2089,5.002,2
2095,5.258,2
2101,5.124,2
2107,5.454,2
2113,4.917,2
2119,5.476,2
2125,5.707,2
2131,5.368,2
2137,6.011,2
2143,9.718,2
2149,17.297,2
2155,3.977,2
2161,5.379,2
2167,4.207,2
2173,4.188,2
2179,4.591,2
2185,4.229,2
2191,4.789,2
2197,4.215,2
2203,4.759,2
2209,4.12,2
2215,4.15,2
2221,4.414,2
2227,4.512,2
2233,4.383,2
2239,4.105,2
2245,4.299,2
2251,4.084,2
2257,4.065,2
2263,3.376,2
2269,4.256,2
2275,4.397,2
2281,3.814,2
2287,3.828,2
2293,4.164,2
2299,3.998,2
2305,3.979,2
2311,3.803,2
2317,4.376,2
2323,4.227,2
2329,4.594,2
2335,4.328,2
2341,4.036,2
2347,4.386,2
2353,4.329,2
2359,3.769,2
2365,4.593,2
2371,5.304,2
2377,6.125,2
2383,5.395,2
2389,5.984,2
2395,5.415,2
2401,5.394,2
2407,5.55,2
2413,5.233,2
2419,5.527,2
2425,6.181,2
2431,5.638,2
2437,5.673,2
2443,6.421,2
2449,6.483,2
2455,31.367,2
2461,11.099,2
2467,20.32,2
2473,15.331,2
2479,9.859,2
2485,7.381,2
2491,12.071,2
2497,11.539,2
2503,8.856,2
2509,9.547,2
2515,10.31,2
2521,8.061,2
2527,7.488,2
2533,7.726,2
2539,8.013,2
2545,8.606,2
2551,7.8,2
2557,8.321,2
2563,7.705,2
2569,9.124,2
2575,7.934,2
2581,10.08,2
2587,10.298,2
2593,28.259,2
2599,5.834,2
2605,7.577,2
2611,4.9,2
2617,4.892,2
2623,6.846,2
2629,4.697,2
2635,4.614,2
2641,4.802,2
2647,4.437,2
2653,4.055,2
2659,4.92,2
2665,5.518,2
2671,4.954,2
2677,5.982,2
2683,6.481,2
2689,5.384,2
2695,5.31,2
2701,5.236,2
2707,5.153,2
2713,7.204,2
2719,9.385,2
2725,11.597,2
2731,8.946,2
2737,9.17,2
2743,8.245,2
2749,8.826,2
2755,8.513,2
2761,9.175,2
2767,9.278,2
2773,8.348,2
2779,9.151,2
2785,9.196,2
2791,12.549,2
2797,8.949,2
2803,29.839,2
2809,10.151,2
2815,10.321,2
2821,13.001,2
2827,10.198,2
2833,9.797,2
2839,8.598,2
2845,12.626,2
2851,11.154,2
2857,12.519,2
2863,13.328,2
2869,9.129,2
2875,13.655,2
2881,13.399,2
2887,9.458,2
2893,9.229,2
2899,12.51,2
2905,11.172,2
2911,9.079,2
2917,10.804,2
2923,10.618,2
2929,10.499,2
2935,36.935,2
2941,9.7,2
2947,9.046,2
2953,9.503,2
2959,9.641,2
2965,9.479,2
2971,9.206,2
2977,9.171,2
2983,9.568,2
2989,9.658,2
2995,11.138,2
