"Complexity","Time in ms","Count"
1,0.202,2
7,0.213,2
13,0.265,2
19,0.237,2
25,0.31,2
31,0.318,2
37,0.447,2
43,0.386,2
49,0.163,2
55,0.223,2
61,0.218,2
67,0.184,2
73,0.203,2
79,0.228,2
85,0.247,2
91,0.228,2
97,0.246,2
103,0.379,2
109,0.266,2
115,0.238,2
121,0.265,2
127,0.266,2
133,0.273,2
139,0.29,2
145,0.298,2
151,0.31,2
157,0.327,2
163,0.359,2
169,0.341,2
175,0.431,2
181,0.365,2
187,0.377,2
193,0.392,2
199,0.486,2
205,0.543,2
211,0.473,2
217,0.463,2
223,0.559,2
229,0.486,2
235,0.549,2
241,0.491,2
247,0.697,2
253,0.629,2
259,0.663,2
265,0.557,2
271,0.586,2
277,0.576,2
283,0.566,2
289,0.579,2
295,0.779,2
301,0.598,2
307,0.604,2
313,0.613,2
319,0.63,2
325,0.644,2
331,0.639,2
337,0.644,2
343,0.648,2
349,0.681,2
355,0.674,2
361,1.091,2
367,1.322,2
373,1.088,2
379,0.82,2
385,0.843,2
391,0.887,2
397,0.999,2
403,0.979,2
409,1.065,2
415,1.038,2
421,0.918,2
427,0.879,2
433,0.936,2
439,0.844,2
445,1.06,2
451,1.705,2
457,1.313,2
463,1.18,2
469,1.084,2
475,1.122,2
481,1.093,2
487,1.435,2
493,1.194,2
499,0.939,2
505,1.055,2
511,1.034,2
517,0.996,2
523,1.294,2
529,1.106,2
535,0.994,2
541,1.121,2
547,1.238,2
553,1.271,2
559,1.493,2
565,1.397,2
571,1.384,2
577,1.254,2
583,1.186,2
589,1.322,2
595,1.133,2
601,1.371,2
607,1.126,2
613,1.284,2
619,2.698,2
625,3.028,2
631,1.716,2
637,1.679,2
643,2.014,2
649,1.503,2
655,1.32,2
661,1.22,2
667,1.407,2
673,2.164,2
679,1.403,2
685,2.824,2
691,3.303,2
697,3.276,2
703,2.102,2
709,2.12,2
715,3.049,2
721,1.996,2
727,1.908,2
733,1.776,2
739,1.75,2
745,1.759,2
751,1.728,2
757,1.729,2
763,2.119,2
769,2.009,2
775,0.674,2
781,0.669,2
787,0.669,2
793,0.68,2
799,0.66,2
805,0.662,2
811,0.639,2
817,0.641,2
823,0.655,2
829,0.663,2
835,0.66,2
841,0.659,2
847,0.667,2
853,0.669,2
859,0.68,2
865,0.683,2
871,0.686,2
877,0.7,2
883,0.741,2
889,0.847,2
895,0.786,2
901,0.742,2
907,0.75,2
913,0.732,2
919,0.754,2
925,0.748,2
931,0.739,2
937,0.768,2
943,0.75,2
949,0.752,2
955,0.767,2
961,0.778,2
967,0.775,2
973,0.769,2
979,0.768,2
985,0.769,2
991,0.782,2
997,0.827,2
1003,0.795,2
1009,0.822,2
1015,0.977,2
1021,1.241,2
1027,1.165,2
1033,0.85,2
1039,0.902,2
1045,0.86,2
1051,0.828,2
1057,0.791,2
1063,0.796,2
1069,0.803,2
1075,0.816,2
1081,0.814,2
1087,0.825,2
1093,31.221,2
1099,0.765,2
1105,0.68,2
1111,0.619,2
1117,0.909,2
